shape,weight,area,OD,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS6_000X0_188,11.68,3.18,6.0,0.188,0.174,13.5,5.91,4.51,2.06,13.5,5.91,4.51,2.06,27.0,9.02
HSS6_000X0_125,7.85,2.14,6.0,0.125,0.116,9.28,4.02,3.09,2.08,9.28,4.02,3.09,2.08,18.6,6.19
HSS5_563X0_500,27.06,7.45,5.56,0.5,0.465,24.4,12.1,8.77,1.81,24.4,12.1,8.77,1.81,48.8,17.5
HSS5_563X0_375,20.8,5.72,5.56,0.375,0.349,19.5,9.5,7.02,1.85,19.5,9.5,7.02,1.85,39.0,14.0
HSS5_563X0_258,14.63,4.01,5.56,0.258,0.24,14.2,6.8,5.12,1.88,14.2,6.8,5.12,1.88,28.5,10.2
HSS5_563X0_188,10.8,2.95,5.56,0.188,0.174,10.7,5.05,3.85,1.91,10.7,5.05,3.85,1.91,21.4,7.7
HSS5_563X0_134,7.78,2.12,5.56,0.134,0.124,7.84,3.67,2.82,1.92,7.84,3.67,2.82,1.92,15.7,5.64
HSS5_500X0_500,26.73,7.36,5.5,0.5,0.465,23.5,11.8,8.55,1.79,23.5,11.8,8.55,1.79,47.0,17.1
HSS5_500X0_375,20.55,5.65,5.5,0.375,0.349,18.8,9.27,6.84,1.83,18.8,9.27,6.84,1.83,37.6,13.7
HSS5_500X0_258,14.46,3.97,5.5,0.258,0.24,13.7,6.64,5.0,1.86,13.7,6.64,5.0,1.86,27.5,10.0
HSS5_000X0_500,24.05,6.62,5.0,0.5,0.465,17.2,9.6,6.88,1.61,17.2,9.6,6.88,1.61,34.4,13.8
HSS5_000X0_375,18.54,5.1,5.0,0.375,0.349,13.9,7.56,5.55,1.65,13.9,7.56,5.55,1.65,27.7,11.1
HSS5_000X0_312,15.64,4.3,5.0,0.312,0.291,12.0,6.46,4.79,1.67,12.0,6.46,4.79,1.67,24.0,9.58
HSS5_000X0_258,13.08,3.59,5.0,0.258,0.24,10.2,5.44,4.08,1.69,10.2,5.44,4.08,1.69,20.4,8.15
HSS5_000X0_250,12.69,3.49,5.0,0.25,0.233,9.94,5.3,3.97,1.69,9.94,5.3,3.97,1.69,19.9,7.95
HSS5_000X0_188,9.67,2.64,5.0,0.188,0.174,7.69,4.05,3.08,1.71,7.69,4.05,3.08,1.71,15.4,6.15
HSS5_000X0_125,6.51,1.78,5.0,0.125,0.116,5.31,2.77,2.12,1.73,5.31,2.77,2.12,1.73,10.6,4.25
HSS4_500X0_375,16.54,4.55,4.5,0.375,0.349,9.87,6.03,4.39,1.47,9.87,6.03,4.39,1.47,19.7,8.78
HSS4_500X0_337,15.0,4.12,4.5,0.337,0.313,9.07,5.5,4.03,1.48,9.07,5.5,4.03,1.48,18.1,8.06
HSS4_500X0_237,10.8,2.96,4.5,0.237,0.22,6.79,4.03,3.02,1.52,6.79,4.03,3.02,1.52,13.6,6.04
HSS4_500X0_188,8.67,2.36,4.5,0.188,0.174,5.54,3.26,2.46,1.53,5.54,3.26,2.46,1.53,11.1,4.93
HSS4_500X0_125,5.85,1.6,4.5,0.125,0.116,3.84,2.23,1.71,1.55,3.84,2.23,1.71,1.55,7.68,3.41
HSS4_000X0_313,12.34,3.39,4.0,0.313,0.291,5.87,4.01,2.93,1.32,5.87,4.01,2.93,1.32,11.7,5.87
HSS4_000X0_250,10.0,2.76,4.0,0.25,0.233,4.91,3.31,2.45,1.33,4.91,3.31,2.45,1.33,9.82,4.91
HSS4_000X0_237,9.53,2.61,4.0,0.237,0.22,4.68,3.15,2.34,1.34,4.68,3.15,2.34,1.34,9.36,4.68
HSS4_000X0_226,9.12,2.5,4.0,0.226,0.21,4.5,3.02,2.25,1.34,4.5,3.02,2.25,1.34,9.01,4.5
HSS4_000X0_220,8.89,2.44,4.0,0.22,0.205,4.41,2.96,2.21,1.34,4.41,2.96,2.21,1.34,8.83,4.41
HSS4_000X0_188,7.66,2.09,4.0,0.188,0.174,3.83,2.55,1.92,1.35,3.83,2.55,1.92,1.35,7.67,3.83
HSS4_000X0_125,5.18,1.42,4.0,0.125,0.116,2.67,1.75,1.34,1.37,2.67,1.75,1.34,1.37,5.34,2.67
HSS3_500X0_313,10.66,2.93,3.5,0.313,0.291,3.81,3.0,2.18,1.14,3.81,3.0,2.18,1.14,7.61,4.35
HSS3_500X0_300,10.26,2.82,3.5,0.3,0.279,3.69,2.9,2.11,1.14,3.69,2.9,2.11,1.14,7.38,4.22
HSS3_500X0_250,8.69,2.39,3.5,0.25,0.233,3.21,2.49,1.83,1.16,3.21,2.49,1.83,1.16,6.41,3.66
HSS3_500X0_216,7.58,2.08,3.5,0.216,0.201,2.84,2.19,1.63,1.17,2.84,2.19,1.63,1.17,5.69,3.25
