shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L2_1_2X2_1_2X1_2,15.4,4.52,2.5,2.5,0.5,0.803,0.452,2.44,2.58,1.43,0.735,5.37,3.63,2.15,1.09,1.43,0.85
DBL_L2_1_2X2_1_2X1_2X3_8,15.4,4.52,2.5,2.5,0.5,0.803,0.452,2.44,2.58,1.43,0.735,6.84,4.48,2.55,1.23,1.54,0.871
DBL_L2_1_2X2_1_2X1_2X3_4,15.4,4.52,2.5,2.5,0.5,0.803,0.452,2.44,2.58,1.43,0.735,8.73,5.32,3.04,1.39,1.67,0.89
DBL_L2_1_2X2_1_2X3_8,11.8,3.46,2.5,2.5,0.375,0.758,0.346,1.94,2.02,1.12,0.749,3.96,2.62,1.58,1.07,1.42,0.839
DBL_L2_1_2X2_1_2X3_8X3_8,11.8,3.46,2.5,2.5,0.375,0.758,0.346,1.94,2.02,1.12,0.749,5.07,3.27,1.89,1.21,1.53,0.861
DBL_L2_1_2X2_1_2X3_8X3_4,11.8,3.46,2.5,2.5,0.375,0.758,0.346,1.94,2.02,1.12,0.749,6.4,3.92,2.23,1.36,1.65,0.881
DBL_L2_1_2X2_1_2X5_16,10.0,2.92,2.5,2.5,0.313,0.735,0.292,1.67,1.71,0.948,0.756,3.22,2.15,1.29,1.05,1.42,0.834
DBL_L2_1_2X2_1_2X5_16X3_8,10.0,2.92,2.5,2.5,0.313,0.735,0.292,1.67,1.71,0.948,0.756,4.14,2.69,1.54,1.19,1.53,0.856
DBL_L2_1_2X2_1_2X5_16X3_4,10.0,2.92,2.5,2.5,0.313,0.735,0.292,1.67,1.71,0.948,0.756,5.24,3.24,1.82,1.34,1.65,0.876
DBL_L2_1_2X2_1_2X1_4,8.2,2.38,2.5,2.5,0.25,0.711,0.238,1.38,1.39,0.774,0.764,2.57,1.69,1.03,1.04,1.42,0.829
DBL_L2_1_2X2_1_2X1_4X3_8,8.2,2.38,2.5,2.5,0.25,0.711,0.238,1.38,1.39,0.774,0.764,3.31,2.14,1.23,1.18,1.52,0.852
DBL_L2_1_2X2_1_2X1_4X3_4,8.2,2.38,2.5,2.5,0.25,0.711,0.238,1.38,1.39,0.774,0.764,4.21,2.58,1.46,1.33,1.64,0.872
DBL_L2_1_2X2_1_2X3_16,6.14,1.8,2.5,2.5,0.188,0.687,0.18,1.07,1.06,0.59,0.771,1.91,1.24,0.764,1.03,1.42,0.825
DBL_L2_1_2X2_1_2X3_16X3_8,6.14,1.8,2.5,2.5,0.188,0.687,0.18,1.07,1.06,0.59,0.771,2.46,1.58,0.915,1.17,1.52,0.847
DBL_L2_1_2X2_1_2X3_16X3_4,6.14,1.8,2.5,2.5,0.188,0.687,0.18,1.07,1.06,0.59,0.771,3.09,1.91,1.07,1.31,1.63,0.868
DBL_L2X2X3_8,9.4,2.74,2.0,2.0,0.375,0.632,0.343,0.952,1.26,0.696,0.591,2.05,1.73,1.02,0.865,1.14,0.847
DBL_L2X2X3_8X3_8,9.4,2.74,2.0,2.0,0.375,0.632,0.343,0.952,1.26,0.696,0.591,2.8,2.25,1.28,1.01,1.25,0.874
DBL_L2X2X3_8X3_4,9.4,2.74,2.0,2.0,0.375,0.632,0.343,0.952,1.26,0.696,0.591,3.75,2.76,1.58,1.17,1.38,0.897
DBL_L2X2X5_16,7.84,2.32,2.0,2.0,0.313,0.609,0.29,0.828,1.07,0.596,0.598,1.69,1.41,0.845,0.853,1.14,0.841
DBL_L2X2X5_16X3_8,7.84,2.32,2.0,2.0,0.313,0.609,0.29,0.828,1.07,0.596,0.598,2.3,1.85,1.05,0.996,1.25,0.868
DBL_L2X2X5_16X3_4,7.84,2.32,2.0,2.0,0.313,0.609,0.29,0.828,1.07,0.596,0.598,3.07,2.28,1.29,1.15,1.37,0.891
DBL_L2X2X1_4,6.38,1.89,2.0,2.0,0.25,0.586,0.236,0.692,0.88,0.488,0.605,1.34,1.11,0.67,0.842,1.13,0.835
DBL_L2X2X1_4X3_8,6.38,1.89,2.0,2.0,0.25,0.586,0.236,0.692,0.88,0.488,0.605,1.82,1.46,0.832,0.982,1.24,0.862
DBL_L2X2X1_4X3_4,6.38,1.89,2.0,2.0,0.25,0.586,0.236,0.692,0.88,0.488,0.605,2.46,1.81,1.04,1.14,1.37,0.886
DBL_L2X2X3_16,4.88,1.44,2.0,2.0,0.188,0.561,0.181,0.542,0.676,0.376,0.612,0.994,0.81,0.497,0.831,1.13,0.83
DBL_L2X2X3_16X3_8,4.88,1.44,2.0,2.0,0.188,0.561,0.181,0.542,0.676,0.376,0.612,1.35,1.08,0.617,0.967,1.24,0.857
DBL_L2X2X3_16X3_4,4.88,1.44,2.0,2.0,0.188,0.561,0.181,0.542,0.676,0.376,0.612,1.81,1.35,0.762,1.12,1.36,0.882
DBL_L2X2X1_8,3.3,0.982,2.0,2.0,0.125,0.534,0.123,0.378,0.46,0.258,0.62,0.657,0.524,0.328,0.818,1.13,0.826
DBL_L2X2X1_8X3_8,3.3,0.982,2.0,2.0,0.125,0.534,0.123,0.378,0.46,0.258,0.62,0.888,0.709,0.406,0.951,1.23,0.853
