shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W16X50,50.0,14.7,16.3,7.07,0.38,0.63,1.03,0.8125,659.0,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270.0,27.7,30.8,16.5,45.6,1.89,15.7,52.3,59.4,39.7,46.7,13.625,3.5,–
W16X45,45.0,13.3,16.1,7.04,0.345,0.565,0.967,0.8125,586.0,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990.0,27.3,27.2,14.7,40.6,1.87,15.5,52.0,59.0,39.2,46.3,13.625,3.5,–
W16X40,40.0,11.8,16.0,7.0,0.305,0.505,0.907,0.8125,518.0,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730.0,27.1,24.0,13.1,36.0,1.86,15.5,51.7,58.7,39.0,46.0,13.625,3.5,–
W16X36,36.0,10.6,15.9,6.99,0.295,0.43,0.832,0.75,448.0,64.0,56.5,6.51,24.5,10.8,7.0,1.52,0.545,1460.0,27.0,20.3,11.1,31.6,1.83,15.5,51.5,58.5,38.8,45.8,13.625,3.5,–
W16X31,31.0,9.13,15.9,5.53,0.275,0.44,0.842,0.75,375.0,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739.0,21.4,13.0,8.94,26.6,1.42,15.5,47.2,52.7,37.3,42.9,13.625,3.5,–
W16X26,26.0,7.68,15.7,5.5,0.25,0.345,0.747,0.75,301.0,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,565.0,21.1,10.0,6.95,21.6,1.38,15.4,46.7,52.2,36.9,42.4,13.625,3.5,–
W14X873,873.0,257.0,23.6,18.8,3.94,5.51,6.1,2.5625,18100.0,2030.0,1530.0,8.39,6170.0,1020.0,656.0,4.9,2270.0,505000.0,85.0,2200.0,370.0,1010.0,6.04,18.1,95.2,114.0,66.0,84.8,11.25,8.5,3
W14X808,808.0,238.0,22.8,18.6,3.74,5.12,5.71,2.5,15900.0,1830.0,1390.0,8.17,5550.0,930.0,597.0,4.83,1840.0,434000.0,82.2,1960.0,336.0,916.0,5.94,17.7,93.4,112.0,64.2,82.8,11.25,8.5,3
W14X730,730.0,215.0,22.4,17.9,3.07,4.91,5.51,2.75,14300.0,1660.0,1280.0,8.17,4720.0,816.0,527.0,4.69,1450.0,362000.0,78.3,1720.0,318.0,829.0,5.68,17.5,91.1,109.0,62.7,80.6,10.0,7.5,3
W14X665,665.0,196.0,21.6,17.7,2.83,4.52,5.12,2.625,12400.0,1480.0,1150.0,7.98,4170.0,730.0,472.0,4.62,1120.0,305000.0,75.6,1510.0,287.0,739.0,5.57,17.1,89.3,107.0,60.9,78.6,10.0,7.5,3
W14X605,605.0,178.0,20.9,17.4,2.6,4.16,4.76,2.5,10800.0,1320.0,1040.0,7.8,3680.0,652.0,423.0,4.55,869.0,258000.0,72.8,1320.0,258.0,657.0,5.44,16.7,87.6,105.0,59.2,76.6,10.0,7.5,3
W14X550,550.0,162.0,20.2,17.2,2.38,3.82,4.42,2.375,9430.0,1180.0,931.0,7.63,3250.0,583.0,378.0,4.49,669.0,219000.0,70.4,1160.0,232.0,585.0,5.35,16.4,85.8,103.0,57.6,74.8,10.0,7.5,3
W14X500,500.0,147.0,19.6,17.0,2.19,3.5,4.1,2.3125,8210.0,1050.0,838.0,7.48,2880.0,522.0,339.0,4.43,514.0,187000.0,68.4,1020.0,209.0,522.0,5.26,16.1,85.0,102.0,56.2,73.2,10.0,7.5,3
W14X455,455.0,134.0,19.0,16.8,2.02,3.21,3.81,2.25,7190.0,936.0,756.0,7.33,2560.0,468.0,304.0,4.38,395.0,160000.0,66.3,894.0,187.0,466.0,5.17,15.8,83.2,100.0,54.8,71.6,10.0,7.5,3
W14X426,426.0,125.0,18.7,16.7,1.88,3.04,3.63,2.125,6600.0,869.0,706.0,7.26,2360.0,434.0,283.0,4.34,331.0,144000.0,65.4,830.0,176.0,435.0,5.11,15.7,82.7,99.4,54.1,70.8,10.0,7.5,3
W14X398,398.0,117.0,18.3,16.6,1.77,2.85,3.44,2.125,6000.0,801.0,656.0,7.16,2170.0,402.0,262.0,4.31,273.0,129000.0,64.1,758.0,163.0,401.0,5.05,15.5,81.8,98.4,53.2,69.8,10.0,7.5,3
W14X370,370.0,109.0,17.9,16.5,1.66,2.66,3.26,2.0625,5440.0,736.0,607.0,7.07,1990.0,370.0,241.0,4.27,222.0,116000.0,62.9,690.0,150.0,367.0,5.0,15.2,81.0,97.5,52.3,68.8,10.0,7.5,3
W14X342,342.0,101.0,17.5,16.4,1.54,2.47,3.07,2.0,4900.0,672.0,558.0,6.98,1810.0,338.0,221.0,4.24,178.0,103000.0,61.6,624.0,138.0,335.0,4.95,15.0,80.1,96.5,51.4,67.8,10.0,7.5,3
W14X311,311.0,91.4,17.1,16.2,1.41,2.26,2.86,1.9375,4330.0,603.0,506.0,6.88,1610.0,304.0,199.0,4.2,136.0,89100.0,60.1,550.0,124.0,300.0,4.87,14.8,79.0,95.2,50.4,66.6,10.0,7.5,3
W14X283,283.0,83.3,16.7,16.1,1.29,2.07,2.67,1.875,3840.0,542.0,459.0,6.79,1440.0,274.0,179.0,4.17,104.0,77700.0,58.9,491.0,112.0,269.0,4.8,14.6,78.1,94.2,49.5,65.6,10.0,7.5,3
W14X257,257.0,75.6,16.4,16.0,1.18,1.89,2.49,1.8125,3400.0,487.0,415.0,6.71,1290.0,246.0,161.0,4.13,79.1,67800.0,58.0,439.0,102.0,243.0,4.75,14.5,77.4,93.4,48.8,64.8,10.0,7.5,3
W14X233,233.0,68.5,16.0,15.9,1.07,1.72,2.32,1.75,3010.0,436.0,375.0,6.63,1150.0,221.0,145.0,4.1,59.5,59000.0,56.8,388.0,91.1,216.0,4.69,14.3,76.5,92.4,47.9,63.8,10.0,7.5,3
W14X211,211.0,62.0,15.7,15.8,0.98,1.56,2.16,1.6875,2660.0,390.0,338.0,6.55,1030.0,198.0,130.0,4.07,44.6,51500.0,55.9,344.0,81.7,194.0,4.64,14.1,75.8,91.6,47.2,63.0,10.0,7.5,3
W14X193,193.0,56.8,15.5,15.7,0.89,1.44,2.04,1.6875,2400.0,355.0,310.0,6.5,931.0,180.0,119.0,4.05,34.8,45900.0,55.2,312.0,75.0,177.0,4.59,14.1,75.3,91.0,46.7,62.4,10.0,7.5,3
W14X176,176.0,51.8,15.2,15.7,0.83,1.31,1.91,1.625,2140.0,320.0,281.0,6.43,838.0,163.0,107.0,4.02,26.5,40500.0,54.5,280.0,67.6,159.0,4.55,13.9,74.8,90.5,46.1,61.8,10.0,7.5,3
W14X159,159.0,46.7,15.0,15.6,0.745,1.19,1.79,1.5625,1900.0,287.0,254.0,6.38,748.0,146.0,96.2,4.0,19.7,35600.0,53.9,250.0,61.0,143.0,4.51,13.8,74.3,89.9,45.6,61.2,10.0,7.5,3
W14X145,145.0,42.7,14.8,15.5,0.68,1.09,1.69,1.5625,1710.0,260.0,232.0,6.33,677.0,133.0,87.3,3.98,15.2,31700.0,53.1,224.0,55.4,129.0,4.47,13.7,73.7,89.2,45.1,60.6,10.0,7.5,3
W14X132,132.0,38.8,14.7,14.7,0.645,1.03,1.63,1.5625,1530.0,234.0,209.0,6.28,548.0,113.0,74.5,3.76,12.3,25500.0,50.2,190.0,49.5,116.0,4.23,13.7,71.2,85.9,44.1,58.8,10.0,5.5,–
W14X120,120.0,35.3,14.5,14.7,0.59,0.94,1.54,1.5,1380.0,212.0,190.0,6.24,495.0,102.0,67.5,3.74,9.37,22700.0,49.8,172.0,45.0,105.0,4.2,13.6,70.9,85.6,43.7,58.4,10.0,5.5,–
W14X109,109.0,32.0,14.3,14.6,0.525,0.86,1.46,1.5,1240.0,192.0,173.0,6.22,447.0,92.7,61.2,3.73,7.12,20200.0,49.1,154.0,40.7,94.8,4.17,13.4,70.3,84.9,43.2,57.8,10.0,5.5,–
W14X99,99.0,29.1,14.2,14.6,0.485,0.78,1.38,1.4375,1110.0,173.0,157.0,6.17,402.0,83.6,55.2,3.71,5.37,18000.0,49.0,139.0,36.9,86.1,4.14,13.4,70.2,84.8,43.0,57.6,10.0,5.5,–
W14X90,90.0,26.5,14.0,14.5,0.44,0.71,1.31,1.4375,999.0,157.0,143.0,6.14,362.0,75.6,49.9,3.7,4.06,16000.0,48.2,124.0,33.2,77.1,4.1,13.3,69.6,84.1,42.5,57.0,10.0,5.5,–
W14X82,82.0,24.0,14.3,10.1,0.51,0.855,1.45,1.0625,881.0,139.0,123.0,6.05,148.0,44.8,29.3,2.48,5.07,6710.0,33.9,73.3,27.6,68.2,2.85,13.4,56.9,67.0,38.7,48.8,10.875,5.5,–
W14X74,74.0,21.8,14.2,10.1,0.45,0.785,1.38,1.0625,795.0,126.0,112.0,6.04,134.0,40.5,26.6,2.48,3.87,5990.0,33.9,67.1,25.4,62.2,2.83,13.4,56.8,66.9,38.5,48.6,10.875,5.5,–
W14X68,68.0,20.0,14.0,10.0,0.415,0.72,1.31,1.0625,722.0,115.0,103.0,6.01,121.0,36.9,24.2,2.46,3.01,5380.0,33.2,59.8,22.9,56.0,2.8,13.3,56.2,66.2,38.0,48.0,10.875,5.5,–
W14X61,61.0,17.9,13.9,10.0,0.375,0.645,1.24,1.0,640.0,102.0,92.1,5.98,107.0,32.8,21.5,2.45,2.19,4710.0,33.1,53.4,20.6,50.2,2.78,13.3,56.0,66.0,37.8,47.8,10.875,5.5,–
W14X53,53.0,15.6,13.9,8.06,0.37,0.66,1.25,1.0,541.0,87.1,77.8,5.89,57.7,22.0,14.3,1.92,1.94,2540.0,26.7,35.5,16.8,42.5,2.22,13.2,50.2,58.3,35.9,43.9,10.875,5.5,–
W14X48,48.0,14.1,13.8,8.03,0.34,0.595,1.19,1.0,484.0,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240.0,26.5,31.7,15.1,38.3,2.2,13.2,50.0,58.0,35.6,43.7,10.875,5.5,–
W14X43,43.0,12.6,13.7,8.0,0.305,0.53,1.12,1.0,428.0,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950.0,26.3,27.9,13.4,34.0,2.18,13.2,49.8,57.8,35.4,43.4,10.875,5.5,–
W14X38,38.0,11.2,14.1,6.77,0.31,0.515,0.915,0.8125,385.0,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230.0,23.0,20.0,11.3,30.3,1.82,13.6,47.2,54.0,35.0,41.7,11.625,3.5,–
W14X34,34.0,10.0,14.0,6.75,0.285,0.455,0.855,0.75,340.0,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,1070.0,22.9,17.6,10.0,26.9,1.8,13.5,47.0,53.7,34.8,41.5,11.625,3.5,–
W14X30,30.0,8.85,13.8,6.73,0.27,0.385,0.785,0.75,291.0,47.3,42.0,5.73,19.6,8.99,5.82,1.49,0.38,887.0,22.6,14.6,8.34,23.1,1.77,13.4,46.6,53.3,34.3,41.1,11.625,3.5,–
W14X26,26.0,7.69,13.9,5.03,0.255,0.42,0.82,0.75,245.0,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,405.0,17.0,8.95,6.76,19.7,1.3,13.5,41.7,46.7,32.8,37.9,11.625,2.75,–
W14X22,22.0,6.49,13.7,5.0,0.23,0.335,0.735,0.75,199.0,33.2,29.0,5.54,7.0,4.39,2.8,1.04,0.208,314.0,16.7,7.0,5.34,16.1,1.27,13.4,41.3,46.3,32.4,37.4,11.625,2.75,–
W12X336,336.0,98.9,16.8,13.4,1.78,2.96,3.55,1.6875,4060.0,603.0,483.0,6.41,1190.0,274.0,177.0,3.47,243.0,57000.0,46.4,460.0,119.0,301.0,4.13,13.8,69.2,82.6,47.0,60.4,9.125,5.5,–
W12X305,305.0,89.5,16.3,13.2,1.63,2.71,3.3,1.625,3550.0,537.0,435.0,6.29,1050.0,244.0,159.0,3.42,185.0,48600.0,44.8,401.0,107.0,267.0,4.05,13.6,67.9,81.1,45.8,59.0,9.125,5.5,–
W12X279,279.0,81.9,15.9,13.1,1.53,2.47,3.07,1.625,3110.0,481.0,393.0,6.16,937.0,220.0,143.0,3.38,143.0,42000.0,44.0,356.0,96.0,240.0,4.0,13.4,67.0,80.1,44.9,58.0,9.125,5.5,–
W12X252,252.0,74.1,15.4,13.0,1.4,2.25,2.85,1.5,2720.0,428.0,353.0,6.06,828.0,196.0,127.0,3.34,108.0,35800.0,42.7,313.0,85.8,213.0,3.93,13.2,66.0,79.0,43.8,56.8,9.125,5.5,–
W12X230,230.0,67.7,15.1,12.9,1.29,2.07,2.67,1.5,2420.0,386.0,321.0,5.97,742.0,177.0,115.0,3.31,83.8,31200.0,42.0,281.0,78.3,193.0,3.87,13.0,65.3,78.2,43.1,56.0,9.125,5.5,–
W12X210,210.0,61.8,14.7,12.8,1.18,1.9,2.5,1.4375,2140.0,348.0,292.0,5.89,664.0,159.0,104.0,3.28,64.7,27200.0,41.0,249.0,70.6,173.0,3.81,12.8,64.4,77.2,42.2,55.0,9.125,5.5,–
W12X190,190.0,56.0,14.4,12.7,1.06,1.74,2.33,1.375,1890.0,311.0,263.0,5.82,589.0,143.0,93.0,3.25,48.8,23600.0,40.2,222.0,64.1,156.0,3.77,12.7,63.8,76.5,41.5,54.2,9.125,5.5,–
W12X170,170.0,50.0,14.0,12.6,0.96,1.56,2.16,1.3125,1650.0,275.0,235.0,5.74,517.0,126.0,82.3,3.22,35.6,20100.0,39.2,193.0,56.5,136.0,3.7,12.4,62.9,75.5,40.6,53.2,9.125,5.5,–
W12X152,152.0,44.7,13.7,12.5,0.87,1.4,2.0,1.25,1430.0,243.0,209.0,5.66,454.0,111.0,72.8,3.19,25.8,17200.0,38.4,168.0,50.1,121.0,3.66,12.3,62.1,74.6,39.9,52.4,9.125,5.5,–
W12X136,136.0,39.9,13.4,12.4,0.79,1.25,1.85,1.25,1240.0,214.0,186.0,5.58,398.0,98.0,64.2,3.16,18.5,14700.0,37.7,146.0,44.1,106.0,3.61,12.2,61.4,73.8,39.2,51.6,9.125,5.5,–
W12X120,120.0,35.2,13.1,12.3,0.71,1.11,1.7,1.1875,1070.0,186.0,163.0,5.51,345.0,85.4,56.0,3.13,12.9,12400.0,36.9,126.0,38.6,92.4,3.56,12.0,60.7,73.0,38.5,50.8,9.125,5.5,–
W12X106,106.0,31.2,12.9,12.2,0.61,0.99,1.59,1.125,933.0,164.0,145.0,5.47,301.0,75.1,49.3,3.11,9.13,10700.0,36.3,110.0,34.2,81.0,3.52,11.9,60.2,72.4,38.0,50.2,9.125,5.5,–
W12X96,96.0,28.2,12.7,12.2,0.55,0.9,1.5,1.125,833.0,147.0,131.0,5.44,270.0,67.5,44.4,3.09,6.85,9410.0,36.0,98.8,30.9,73.0,3.49,11.8,59.9,72.1,37.6,49.8,9.125,5.5,–
W12X87,87.0,25.6,12.5,12.1,0.515,0.81,1.41,1.0625,740.0,132.0,118.0,5.38,241.0,60.4,39.7,3.07,5.1,8270.0,35.4,86.6,27.4,64.9,3.46,11.7,59.2,71.3,37.1,49.2,9.125,5.5,–
W12X79,79.0,23.2,12.4,12.1,0.47,0.735,1.33,1.0625,662.0,119.0,107.0,5.34,216.0,54.3,35.8,3.05,3.84,7330.0,35.3,78.5,24.9,58.9,3.43,11.7,59.1,71.2,36.9,49.0,9.125,5.5,–
W12X72,72.0,21.1,12.3,12.0,0.43,0.67,1.27,1.0625,597.0,108.0,97.4,5.31,195.0,49.2,32.4,3.04,2.93,6540.0,34.9,70.1,22.5,53.2,3.41,11.6,58.7,70.7,36.6,48.6,9.125,5.5,–
W12X65,65.0,19.1,12.1,12.0,0.39,0.605,1.2,1.0,533.0,96.8,87.9,5.28,174.0,44.1,29.1,3.02,2.18,5780.0,34.5,62.6,20.2,47.5,3.38,11.5,58.4,70.4,36.2,48.2,9.125,5.5,–
W12X58,58.0,17.0,12.2,10.0,0.36,0.64,1.24,0.9375,475.0,86.4,78.0,5.28,107.0,32.5,21.4,2.51,2.1,3570.0,28.9,46.2,17.8,42.4,2.81,11.6,52.6,62.6,34.4,44.4,9.25,5.5,–
W12X53,53.0,15.6,12.1,10.0,0.345,0.575,1.18,0.9375,425.0,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,3160.0,28.8,41.4,16.0,38.3,2.79,11.5,52.5,62.5,34.2,44.2,9.25,5.5,–
W12X50,50.0,14.6,12.2,8.08,0.37,0.64,1.14,0.9375,391.0,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880.0,23.4,30.2,14.3,35.4,2.25,11.6,47.0,55.1,32.5,40.6,9.25,5.5,–
W12X45,45.0,13.1,12.1,8.05,0.335,0.575,1.08,0.9375,348.0,64.2,57.7,5.15,50.0,19.0,12.4,1.95,1.26,1650.0,23.2,26.8,12.8,31.7,2.23,11.5,46.8,54.9,32.3,40.3,9.25,5.5,–
W12X40,40.0,11.7,11.9,8.01,0.295,0.515,1.02,0.875,307.0,57.0,51.5,5.13,44.1,16.8,11.0,1.94,0.906,1440.0,22.8,23.5,11.3,27.8,2.21,11.4,46.4,54.4,31.8,39.8,9.25,5.5,–
W12X35,35.0,10.3,12.5,6.56,0.3,0.52,0.82,0.75,285.0,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879.0,19.6,16.8,9.75,25.4,1.79,12.0,43.5,50.1,31.6,38.1,10.125,3.5,–
W12X30,30.0,8.79,12.3,6.52,0.26,0.44,0.74,0.75,238.0,43.1,38.6,5.21,20.3,9.56,6.24,1.52,0.457,720.0,19.3,13.9,8.17,21.3,1.77,11.9,43.1,49.6,31.1,37.6,10.125,3.5,–
W12X26,26.0,7.65,12.2,6.49,0.23,0.38,0.68,0.75,204.0,37.2,33.4,5.17,17.3,8.17,5.34,1.51,0.3,607.0,19.2,11.8,7.03,18.3,1.75,11.8,42.9,49.4,30.9,37.4,10.125,3.5,–
W12X22,22.0,6.48,12.3,4.03,0.26,0.425,0.725,0.625,156.0,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,164.0,12.0,5.12,4.76,14.4,1.04,11.9,35.7,39.7,28.6,32.7,10.375,2.25,–
W12X19,19.0,5.57,12.2,4.01,0.235,0.35,0.65,0.5625,130.0,24.7,21.3,4.82,3.76,2.98,1.88,0.822,0.18,131.0,11.9,4.17,3.91,12.2,1.02,11.9,35.5,39.5,28.4,32.4,10.375,2.25,–
W12X16,16.0,4.71,12.0,3.99,0.22,0.265,0.565,0.5625,103.0,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,96.9,11.7,3.09,2.93,9.82,0.983,11.7,35.0,39.0,28.0,32.0,10.375,2.25,–
W12X14,14.0,4.16,11.9,3.97,0.2,0.225,0.525,0.5625,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,80.4,11.6,2.59,2.48,8.49,0.961,11.7,34.8,38.8,27.8,31.7,10.375,2.25,–
W10X112,112.0,32.9,11.4,10.4,0.755,1.25,1.75,1.0,716.0,147.0,126.0,4.66,236.0,69.2,45.3,2.68,15.1,6020.0,26.4,85.8,30.6,73.5,3.08,10.2,51.6,62.0,33.2,43.6,7.5,5.5,–
W10X100,100.0,29.3,11.1,10.3,0.68,1.12,1.62,1.0,623.0,130.0,112.0,4.6,207.0,61.0,40.0,2.65,10.9,5150.0,25.7,74.1,26.9,64.2,3.04,10.0,50.9,61.2,32.5,42.8,7.5,5.5,–
W10X88,88.0,26.0,10.8,10.3,0.605,0.99,1.49,0.9375,534.0,113.0,98.5,4.54,179.0,53.1,34.8,2.63,7.53,4330.0,25.3,64.4,23.5,55.9,2.99,9.81,50.4,60.7,31.9,42.2,7.5,5.5,–
W10X77,77.0,22.7,10.6,10.2,0.53,0.87,1.37,0.875,455.0,97.6,85.9,4.49,154.0,45.9,30.1,2.6,5.11,3630.0,24.8,55.0,20.5,48.4,2.95,9.73,49.9,60.1,31.4,41.6,7.5,5.5,–
W10X68,68.0,19.9,10.4,10.1,0.47,0.77,1.27,0.875,394.0,85.3,75.7,4.44,134.0,40.1,26.4,2.59,3.56,3100.0,24.3,47.3,17.9,42.1,2.92,9.63,49.3,59.4,30.9,41.0,7.5,5.5,–
W10X60,60.0,17.7,10.2,10.1,0.42,0.68,1.18,0.8125,341.0,74.6,66.7,4.39,116.0,35.0,23.0,2.57,2.48,2640.0,24.0,41.3,15.7,36.8,2.88,9.52,49.0,59.1,30.5,40.6,7.5,5.5,–
W10X54,54.0,15.8,10.1,10.0,0.37,0.615,1.12,0.8125,303.0,66.6,60.0,4.37,103.0,31.3,20.6,2.56,1.82,2320.0,23.7,36.5,14.0,32.8,2.85,9.49,48.6,58.6,30.2,40.2,7.5,5.5,–
