shape,weight,area,d,b,t,k,x,y,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan_a,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L4X3_1_2X5_16,7.7,2.25,3.5,4.0,0.313,0.688,0.923,1.17,0.281,0.4,3.53,2.24,1.25,1.25,2.52,1.74,0.98,1.06,1.16,0.721,0.806,0.0782,0.0798,2.08,–,0.757,4.88,2.36,0.376,2.72,1.44,1.44,1.1,2.07,13,1.79,0.806,0.806,1.05,11.5,11.0,15
L4X3_1_2X1_4,6.2,1.82,3.5,4.0,0.25,0.625,0.897,1.14,0.228,0.36,2.89,1.81,1.01,1.26,2.07,1.4,0.794,1.07,0.953,0.723,0.653,0.0412,0.0419,2.09,–,0.759,4.01,2.38,0.365,2.74,1.46,1.4,1.11,1.68,11,1.46,0.653,0.681,0.859,11.5,11.0,15
L4X3X5_8,13.6,3.99,3.0,4.0,0.625,1.0,0.867,1.37,0.499,0.808,6.01,4.08,2.28,1.23,2.85,2.45,1.34,0.845,1.59,0.631,1.13,0.529,0.472,1.91,–,0.534,7.27,1.94,0.801,2.58,1.38,1.41,0.749,3.75,9.08,2.82,1.15,1.13,2.12,11.0,10.0,14
L4X3X1_2,11.1,3.25,3.0,4.0,0.5,0.875,0.822,1.32,0.406,0.75,5.02,3.36,1.87,1.24,2.4,1.99,1.1,0.858,1.3,0.633,0.929,0.281,0.255,1.94,–,0.542,6.12,1.98,0.768,2.63,1.4,1.35,0.777,3.09,7.97,2.33,0.929,0.963,1.67,11.0,10.0,14
L4X3X3_8,8.5,2.49,3.0,4.0,0.375,0.75,0.775,1.27,0.311,0.68,3.94,2.6,1.44,1.26,1.89,1.52,0.851,0.873,1.0,0.636,0.699,0.123,0.114,1.97,–,0.551,4.82,2.02,0.739,2.68,1.43,1.29,0.801,2.39,6.52,1.8,0.699,0.775,1.25,11.0,10.0,14
L4X3X5_16,7.2,2.09,3.0,4.0,0.313,0.688,0.75,1.25,0.261,0.656,3.36,2.19,1.22,1.27,1.62,1.28,0.721,0.88,0.849,0.638,0.59,0.0731,0.0676,1.98,–,0.554,4.13,2.05,0.73,2.69,1.44,1.26,0.814,2.01,5.66,1.54,0.59,0.674,1.04,11.0,10.0,14
L4X3X1_4,5.8,1.69,3.0,4.0,0.25,0.625,0.725,1.22,0.211,0.62,2.75,1.77,0.988,1.27,1.33,1.03,0.585,0.887,0.692,0.639,0.474,0.0386,0.0356,1.99,–,0.558,3.39,2.06,0.713,2.72,1.46,1.23,0.828,1.65,4.75,1.25,0.474,0.563,0.836,11.0,10.0,14
L3_1_2X3_1_2X1_2,11.1,3.25,3.5,3.5,0.5,0.875,1.05,1.05,0.464,0.464,3.63,2.66,1.48,1.05,3.63,2.66,1.48,1.05,1.51,0.679,1.02,0.281,0.238,1.87,0.63,1.0,5.75,2.3,0.0,2.3,1.17,1.48,1.17,2.5,–,2.5,1.29,1.02,1.29,10.5,10.5,14
L3_1_2X3_1_2X7_16,9.8,2.89,3.5,3.5,0.438,0.813,1.03,1.03,0.413,0.413,3.25,2.36,1.32,1.06,3.25,2.36,1.32,1.06,1.33,0.681,0.911,0.192,0.164,1.89,0.63,1.0,5.16,2.32,0.0,2.32,1.17,1.46,1.17,2.22,–,2.22,1.14,0.911,1.14,10.5,10.5,14
L3_1_2X3_1_2X3_8,8.5,2.5,3.5,3.5,0.375,0.75,1.0,1.0,0.357,0.357,2.86,2.06,1.15,1.07,2.86,2.06,1.15,1.07,1.17,0.683,0.83,0.123,0.106,1.9,0.63,1.0,4.55,2.34,0.0,2.34,1.19,1.41,1.19,1.94,–,1.94,0.983,0.83,0.983,10.5,10.5,14
L3_1_2X3_1_2X5_16,7.2,2.1,3.5,3.5,0.313,0.688,0.979,0.979,0.3,0.3,2.44,1.74,0.969,1.08,2.44,1.74,0.969,1.08,0.984,0.685,0.713,0.0731,0.0634,1.92,0.63,1.0,3.89,2.36,0.0,2.36,1.2,1.38,1.2,1.65,–,1.65,0.82,0.713,0.82,10.5,10.5,14
L3_1_2X3_1_2X1_4,5.8,1.7,3.5,3.5,0.25,0.625,0.954,0.954,0.243,0.243,2.0,1.41,0.787,1.09,2.0,1.41,0.787,1.09,0.802,0.688,0.594,0.0386,0.0334,1.93,0.63,1.0,3.19,2.39,0.0,2.39,1.21,1.35,1.21,1.33,–,1.33,0.663,0.594,0.663,10.5,10.5,14
L3_1_2X3X1_2,10.2,3.02,3.0,3.5,0.5,0.875,0.869,1.12,0.431,0.48,3.45,2.61,1.45,1.07,2.32,1.97,1.09,0.877,1.15,0.618,0.846,0.26,0.191,1.75,–,0.713,4.62,1.95,0.407,2.3,1.23,1.36,0.878,2.37,11.4,2.01,0.935,0.846,1.31,10.0,9.5,13
L3_1_2X3X7_16,9.1,2.67,3.0,3.5,0.438,0.813,0.846,1.09,0.381,0.449,3.1,2.32,1.29,1.08,2.09,1.75,0.971,0.885,1.02,0.62,0.773,0.178,0.132,1.76,–,0.717,4.16,1.96,0.393,2.32,1.24,1.32,0.894,2.12,10.6,1.79,0.823,0.773,1.14,10.0,9.5,13
