shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT9X65,65.0,19.2,9.63,11.2,0.67,1.2,1.6,2.02,0.856,127.0,30.5,16.7,2.58,139.0,38.3,24.9,2.7,7.23,22.8,4.0,0.873,29.8,41.0,30.5,41.7,5.5,–
WT9X59_5,59.5,17.6,9.49,11.3,0.655,1.06,1.46,2.03,0.778,119.0,28.7,15.9,2.6,126.0,34.5,22.5,2.69,5.3,17.4,4.03,0.862,29.6,40.9,30.3,41.6,5.5,–
WT9X53,53.0,15.6,9.37,11.2,0.59,0.94,1.34,1.97,0.695,104.0,25.2,14.1,2.59,110.0,30.2,19.7,2.66,3.73,12.1,4.0,0.86,29.3,40.5,29.9,41.1,5.5,–
WT9X48_5,48.5,14.2,9.3,11.1,0.535,0.87,1.27,1.91,0.64,93.8,22.6,12.7,2.56,100.0,27.6,18.0,2.65,2.92,9.29,3.97,0.863,29.0,40.1,29.7,40.8,5.5,–
WT9X43,43.0,12.7,9.2,11.1,0.48,0.77,1.17,1.86,0.57,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,2.04,6.42,3.95,0.861,28.8,39.9,29.5,40.6,5.5,–
WT9X38,38.0,11.1,9.11,11.0,0.425,0.68,1.08,1.8,0.505,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,1.41,4.37,3.93,0.861,28.5,39.5,29.2,40.2,5.5,–
WT9X35_5,35.5,10.4,9.24,7.64,0.495,0.81,1.21,2.26,0.683,78.2,20.0,11.2,2.74,30.1,12.3,7.89,1.7,1.74,3.96,3.72,0.752,25.6,33.2,26.1,33.8,3.5,–
WT9X32_5,32.5,9.55,9.18,7.59,0.45,0.75,1.15,2.2,0.629,70.7,18.0,10.1,2.72,27.4,11.2,7.22,1.69,1.36,3.01,3.69,0.755,25.4,33.0,26.0,33.5,3.5,–
WT9X30,30.0,8.82,9.12,7.56,0.415,0.695,1.1,2.16,0.583,64.7,16.5,9.29,2.71,25.0,10.3,6.63,1.68,1.08,2.35,3.67,0.756,25.3,32.8,25.8,33.4,3.5,–
WT9X27_5,27.5,8.1,9.06,7.53,0.39,0.63,1.03,2.16,0.538,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.83,1.84,3.68,0.749,25.1,32.7,25.7,33.2,3.5,–
WT9X25,25.0,7.34,9.0,7.5,0.355,0.57,0.972,2.12,0.489,53.5,13.8,7.79,2.7,20.0,8.28,5.35,1.65,0.619,1.36,3.66,0.748,25.0,32.5,25.5,33.0,3.5,–
WT9X23,23.0,6.77,9.03,6.06,0.36,0.605,1.01,2.33,0.558,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.609,1.2,3.67,0.695,23.6,29.7,24.1,30.2,3.5,–
WT9X20,20.0,5.88,8.95,6.02,0.315,0.525,0.927,2.29,0.489,44.8,12.0,6.73,2.76,9.55,4.97,3.17,1.27,0.404,0.788,3.65,0.693,23.4,29.4,23.9,29.9,3.5,–
WT9X17_5,17.5,5.15,8.85,6.0,0.3,0.425,0.827,2.39,0.45,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.252,0.598,3.74,0.662,23.2,29.2,23.7,29.7,3.5,–
WT8X50,50.0,14.7,8.49,10.4,0.585,0.985,1.39,1.76,0.706,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,3.85,10.4,3.63,0.878,26.7,37.1,27.4,37.8,5.5,–
WT8X44_5,44.5,13.1,8.38,10.4,0.525,0.875,1.28,1.7,0.631,67.2,18.1,10.1,2.27,81.3,24.0,15.7,2.49,2.72,7.19,3.6,0.877,26.5,36.9,27.2,37.6,5.5,–
WT8X38_5,38.5,11.3,8.26,10.3,0.455,0.76,1.16,1.63,0.549,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,1.78,4.61,3.57,0.877,26.1,36.4,26.8,37.1,5.5,–
WT8X33_5,33.5,9.81,8.17,10.2,0.395,0.665,1.07,1.56,0.481,48.6,13.0,7.36,2.22,59.5,17.7,11.6,2.46,1.19,3.01,3.54,0.879,25.9,36.1,26.5,36.7,5.5,–
WT8X28_5,28.5,8.39,8.22,7.12,0.43,0.715,1.12,1.94,0.589,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.6,1.1,1.99,3.3,0.77,23.0,30.2,23.6,30.7,3.5,–
WT8X25,25.0,7.37,8.13,7.07,0.38,0.63,1.03,1.89,0.521,42.3,12.0,6.78,2.4,18.6,8.15,5.26,1.59,0.76,1.34,3.28,0.769,22.8,29.9,23.3,30.4,3.5,–
WT8X22_5,22.5,6.63,8.07,7.04,0.345,0.565,0.967,1.86,0.471,37.8,10.8,6.1,2.39,16.4,7.22,4.67,1.57,0.555,0.974,3.27,0.767,22.7,29.7,23.2,30.2,3.5,–
WT8X20,20.0,5.89,8.01,7.0,0.305,0.505,0.907,1.81,0.421,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0.396,0.673,3.24,0.769,22.5,29.5,23.0,30.0,3.5,–
WT8X18,18.0,5.29,7.93,6.99,0.295,0.43,0.832,1.88,0.378,30.6,8.93,5.05,2.41,12.2,5.42,3.5,1.52,0.272,0.516,3.3,0.745,22.3,29.3,22.9,29.8,3.5,–
WT8X15_5,15.5,4.56,7.94,5.53,0.275,0.44,0.842,2.02,0.413,27.5,8.27,4.64,2.45,6.2,3.51,2.24,1.17,0.23,0.366,3.26,0.695,20.9,26.4,21.4,26.9,3.5,–
WT8X13,13.0,3.84,7.85,5.5,0.25,0.345,0.747,2.09,0.372,23.5,7.36,4.09,2.47,4.79,2.73,1.74,1.12,0.13,0.243,3.32,0.667,20.7,26.2,21.2,26.7,3.5,–
WT7X436_5,436.5,129.0,11.8,18.8,3.94,5.51,6.1,3.88,3.43,1040.0,281.0,131.0,2.84,3080.0,511.0,328.0,4.89,1110.0,8980.0,5.76,0.962,41.9,60.7,42.4,61.2,8.5,3
WT7X404,404.0,119.0,11.4,18.6,3.74,5.12,5.71,3.69,3.2,898.0,249.0,116.0,2.75,2770.0,465.0,298.0,4.82,898.0,7000.0,5.67,0.96,40.9,59.5,41.4,60.0,8.5,3
WT7X365,365.0,107.0,11.2,17.9,3.07,4.91,5.51,3.47,3.0,739.0,211.0,95.4,2.62,2360.0,408.0,264.0,4.69,714.0,5250.0,5.47,0.966,39.3,57.2,40.3,58.2,7.5,3
WT7X332_5,332.5,97.8,10.8,17.7,2.83,4.52,5.12,3.25,2.77,622.0,182.0,82.1,2.52,2080.0,365.0,236.0,4.62,555.0,3920.0,5.35,0.966,38.3,56.0,39.3,57.0,7.5,3
WT7X302_5,302.5,89.0,10.5,17.4,2.6,4.16,4.76,3.05,2.55,524.0,157.0,70.6,2.43,1840.0,326.0,211.0,4.55,430.0,2930.0,5.24,0.966,37.4,54.8,38.4,55.8,7.5,3
WT7X275,275.0,80.9,10.1,17.2,2.38,3.82,4.42,2.85,2.35,442.0,136.0,60.9,2.34,1630.0,292.0,189.0,4.49,331.0,2180.0,5.15,0.966,36.4,53.6,37.4,54.6,7.5,3
WT7X250,250.0,73.5,9.8,17.0,2.19,3.5,4.1,2.67,2.16,375.0,117.0,52.7,2.26,1440.0,261.0,169.0,4.43,254.0,1620.0,5.06,0.967,35.6,52.6,36.6,53.6,7.5,3
WT7X227_5,227.5,66.9,9.51,16.8,2.02,3.21,3.81,2.51,1.99,321.0,102.0,45.9,2.19,1280.0,234.0,152.0,4.38,196.0,1210.0,4.98,0.967,34.8,51.6,35.8,52.6,7.5,3
WT7X213,213.0,62.7,9.34,16.7,1.88,3.04,3.63,2.4,1.88,287.0,91.7,41.4,2.14,1180.0,217.0,141.0,4.34,164.0,991.0,4.92,0.968,34.4,51.1,35.4,52.1,7.5,3
WT7X199,199.0,58.4,9.15,16.6,1.77,2.85,3.44,2.3,1.76,257.0,82.9,37.6,2.1,1090.0,201.0,131.0,4.31,135.0,801.0,4.87,0.968,33.9,50.5,34.9,51.5,7.5,3
WT7X185,185.0,54.4,8.96,16.5,1.66,2.66,3.26,2.19,1.65,229.0,74.4,33.9,2.05,994.0,185.0,121.0,4.27,110.0,640.0,4.82,0.968,33.4,49.9,34.4,50.9,7.5,3
WT7X171,171.0,50.3,8.77,16.4,1.54,2.47,3.07,2.09,1.54,203.0,66.2,30.4,2.01,903.0,169.0,110.0,4.24,88.3,502.0,4.77,0.968,32.9,49.3,33.9,50.3,7.5,3
WT7X155_5,155.5,45.7,8.56,16.2,1.41,2.26,2.86,1.97,1.41,176.0,57.7,26.7,1.96,807.0,152.0,99.4,4.2,67.5,375.0,4.71,0.969,32.3,48.5,33.3,49.5,7.5,3
WT7X141_5,141.5,41.6,8.37,16.1,1.29,2.07,2.67,1.86,1.29,153.0,50.4,23.5,1.92,722.0,137.0,89.7,4.17,51.8,281.0,4.66,0.969,31.8,47.9,32.8,48.9,7.5,3
WT7X128_5,128.5,37.8,8.19,16.0,1.18,1.89,2.49,1.75,1.18,133.0,43.9,20.7,1.88,645.0,123.0,80.7,4.13,39.3,209.0,4.61,0.969,31.4,47.4,32.4,48.4,7.5,3
WT7X116_5,116.5,34.2,8.02,15.9,1.07,1.72,2.32,1.65,1.08,116.0,38.2,18.2,1.84,576.0,110.0,72.5,4.1,29.6,154.0,4.57,0.97,30.9,46.8,31.9,47.8,7.5,3
WT7X105_5,105.5,31.0,7.86,15.8,0.98,1.56,2.16,1.57,0.98,102.0,33.4,16.2,1.81,513.0,98.9,65.0,4.07,22.2,113.0,4.52,0.97,30.5,46.3,31.5,47.3,7.5,3
WT7X96_5,96.5,28.4,7.74,15.7,0.89,1.44,2.04,1.49,0.903,89.8,29.4,14.4,1.78,466.0,90.1,59.3,4.05,17.3,87.2,4.49,0.971,30.2,45.9,31.2,46.9,7.5,3
WT7X88,88.0,25.9,7.61,15.7,0.83,1.31,1.91,1.43,0.827,80.5,26.3,13.0,1.76,419.0,81.3,53.5,4.02,13.2,65.2,4.46,0.97,29.9,45.6,30.9,46.6,7.5,3
WT7X79_5,79.5,23.4,7.49,15.6,0.745,1.19,1.79,1.35,0.751,70.2,22.8,11.4,1.73,374.0,73.0,48.1,4.0,9.84,47.9,4.43,0.971,29.6,45.2,30.6,46.2,7.5,3
WT7X72_5,72.5,21.3,7.39,15.5,0.68,1.09,1.69,1.29,0.688,62.5,20.2,10.2,1.71,338.0,66.2,43.7,3.98,7.56,36.3,4.4,0.971,29.3,44.8,30.3,45.8,7.5,3
WT7X66,66.0,19.4,7.33,14.7,0.645,1.03,1.63,1.29,0.658,57.8,18.6,9.57,1.73,274.0,56.5,37.2,3.76,6.13,26.6,4.21,0.966,28.3,43.0,29.4,44.1,5.5,–
WT7X60,60.0,17.7,7.24,14.7,0.59,0.94,1.54,1.24,0.602,51.7,16.5,8.61,1.71,247.0,51.2,33.7,3.74,4.67,20.0,4.19,0.966,28.2,42.9,29.2,43.9,5.5,–
WT7X54_5,54.5,16.0,7.16,14.6,0.525,0.86,1.46,1.17,0.548,45.3,14.4,7.56,1.68,223.0,46.3,30.6,3.73,3.55,15.0,4.16,0.968,27.9,42.5,28.9,43.5,5.5,–
WT7X49_5,49.5,14.6,7.08,14.6,0.485,0.78,1.38,1.14,0.5,40.9,12.9,6.88,1.67,201.0,41.8,27.6,3.71,2.68,11.1,4.14,0.967,27.7,42.3,28.8,43.4,5.5,–
