shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT6X9_5,9.5,2.79,6.08,4.01,0.235,0.35,0.65,1.65,0.348,10.1,4.11,2.28,1.9,1.88,1.49,0.939,0.821,0.0899,0.0934,2.54,0.665,15.8,19.8,16.2,20.2,2.25,–
WT6X8,8.0,2.36,6.0,3.99,0.22,0.265,0.565,1.74,0.639,8.7,3.72,2.04,1.92,1.41,1.13,0.706,0.773,0.0511,0.0678,2.62,0.624,15.6,19.6,16.0,20.0,2.25,–
WT6X7,7.0,2.08,5.96,3.97,0.2,0.225,0.525,1.76,0.76,7.67,3.32,1.83,1.92,1.18,0.947,0.593,0.753,0.035,0.0493,2.64,0.611,15.5,19.5,15.9,19.9,2.25,–
WT5X56,56.0,16.5,5.68,10.4,0.755,1.25,1.75,1.21,0.791,28.6,13.4,6.4,1.32,118.0,34.6,22.6,2.67,7.5,16.9,3.04,0.963,21.2,31.6,21.8,32.2,5.5,–
WT5X50,50.0,14.7,5.55,10.3,0.68,1.12,1.62,1.13,0.711,24.5,11.4,5.56,1.29,103.0,30.5,20.0,2.65,5.41,11.9,3.0,0.964,20.9,31.2,21.4,31.7,5.5,–
WT5X44,44.0,13.0,5.42,10.3,0.605,0.99,1.49,1.06,0.631,20.8,9.65,4.77,1.27,89.3,26.5,17.4,2.63,3.75,8.02,2.97,0.964,20.6,30.9,21.1,31.4,5.5,–
WT5X38_5,38.5,11.3,5.3,10.2,0.53,0.87,1.37,0.99,0.555,17.4,8.06,4.05,1.24,76.8,22.9,15.1,2.6,2.55,5.31,2.94,0.964,20.3,30.5,20.8,31.0,5.5,–
WT5X34,34.0,10.0,5.2,10.1,0.47,0.77,1.27,0.932,0.493,14.9,6.85,3.49,1.22,66.7,20.0,13.2,2.58,1.78,3.62,2.91,0.965,20.0,30.1,20.5,30.6,5.5,–
WT5X30,30.0,8.84,5.11,10.1,0.42,0.68,1.18,0.884,0.438,12.9,5.87,3.04,1.21,58.1,17.5,11.5,2.57,1.23,2.46,2.89,0.964,19.8,29.9,20.3,30.4,5.5,–
WT5X27,27.0,7.9,5.05,10.0,0.37,0.615,1.12,0.836,0.395,11.1,5.05,2.64,1.19,51.7,15.6,10.3,2.56,0.909,1.78,2.87,0.966,19.6,29.6,20.1,30.1,5.5,–
